,driver_x,qual_pos_x,season_mid_x,season_high_x,season_low_x,group_len_x,season_avg_x,seasonpassdif_x,seasongreenpass_x,seasongreenpassed_x,seasonqualitypass_x,seasonfastlap_x,seasontop15_x,seasonlapled_x,seasonDR_x,DFS_avg_x,season_long_mid_x,season_long_high_x,season_long_low_x,season_long_avg_x,seasonlongpassdif_x,seasonlonggreenpass_x,seasonlonggreenpassed_x,seasonlongqualitypass_x,seasonlongfastlap_x,seasonlongtop15_x,seasonlonglapled_x,seasonlongDR_x,DFS_avg_season_x,num_starts_x,car_make_Chevrolet_x,car_make_Ford_x,car_make_Toyota_x,owner_Chip Ganassi_x,owner_Chris Our_x,owner_Fred Biagi_x,owner_Fury Race Cars_x,owner_JR Motorsports_x,owner_Jack Roush_x,owner_Jeremy Clements_x,owner_Jerry Brown_x,owner_Joe Gibbs_x,owner_Matt Hurley_x,owner_Matt Kaulig_x,owner_Maury Gallagher_x,owner_Richard Childress_x,owner_Roger Penske_x,owner_SS Green Light Racing_x,owner_Stewart Haas Racing_x,driver_y,qual_pos_y,season_mid_y,season_high_y,season_low_y,group_len_y,season_avg_y,seasonpassdif_y,seasongreenpass_y,seasongreenpassed_y,seasonqualitypass_y,seasonfastlap_y,seasontop15_y,seasonlapled_y,seasonDR_y,DFS_avg_y,season_long_mid_y,season_long_high_y,season_long_low_y,season_long_avg_y,seasonlongpassdif_y,seasonlonggreenpass_y,seasonlonggreenpassed_y,seasonlongqualitypass_y,seasonlongfastlap_y,seasonlongtop15_y,seasonlonglapled_y,seasonlongDR_y,DFS_avg_season_y,num_starts_y,car_make_Chevrolet_y,car_make_Ford_y,car_make_Toyota_y,owner_Chip Ganassi_y,owner_Chris Our_y,owner_Fred Biagi_y,owner_Fury Race Cars_y,owner_JR Motorsports_y,owner_Jack Roush_y,owner_Jeremy Clements_y,owner_Jerry Brown_y,owner_Joe Gibbs_y,owner_Matt Hurley_y,owner_Matt Kaulig_y,owner_Maury Gallagher_y,owner_Richard Childress_y,owner_Roger Penske_y,owner_SS Green Light Racing_y,owner_Stewart Haas Racing_y
46,Noah Gragson,3.0,2.0,1.0,22.0,0.5,5.5,12.0,39.0,20.0,35.5,16.5,250.0,17.0,121.0,58.725,1.0,27.5,4.5,8.5,56.5,60.0,40.5,77.15,139.0,95.6,18.65,3.5,3.5,108.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Justin Allgaier,14.0,12.5,1.0,25.0,0.5,9.0,8.5,43.0,34.5,26.0,7.0,222.0,0.0,102.05,43.150000000000006,1.0,29.5,9.0,12.5,72.0,54.5,54.0,66.95,148.0,89.1,2.35,3.5,5.5,378.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,Noah Gragson,3.0,2.0,1.0,22.0,0.5,5.5,12.0,39.0,20.0,35.5,16.5,250.0,17.0,121.0,58.725,1.0,27.5,4.5,8.5,56.5,60.0,40.5,77.15,139.0,95.6,18.65,3.5,3.5,108.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Brett Moffitt,15.0,19.0,1.0,37.0,0.5,17.0,0.0,50.0,43.0,11.0,0.0,61.0,0.0,68.2,18.0,6.5,28.5,16.0,-10.5,80.0,77.0,26.5,40.2,96.5,53.25,0.0,3.5,15.5,69.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Noah Gragson,3.0,2.0,1.0,22.0,0.5,5.5,12.0,39.0,20.0,35.5,16.5,250.0,17.0,121.0,58.725,1.0,27.5,4.5,8.5,56.5,60.0,40.5,77.15,139.0,95.6,18.65,3.5,3.5,108.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Daniel Hemric,16.0,6.0,1.0,22.0,0.5,6.5,11.0,48.5,27.5,39.5,25.0,247.0,23.0,114.5,60.5,1.0,27.0,9.5,1.5,70.0,65.0,50.5,72.7,125.0,86.85,0.0,3.5,20.5,126.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,Noah Gragson,3.0,2.0,1.0,22.0,0.5,5.5,12.0,39.0,20.0,35.5,16.5,250.0,17.0,121.0,58.725,1.0,27.5,4.5,8.5,56.5,60.0,40.5,77.15,139.0,95.6,18.65,3.5,3.5,108.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Riley Herbst,24.0,9.0,2.5,27.5,0.5,12.0,-5.0,43.0,43.0,30.5,3.5,208.0,0.0,89.65,45.025,3.0,31.0,16.0,1.5,75.5,68.0,34.5,65.35,73.0,82.9,0.0,3.5,14.5,82.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Noah Gragson,3.0,2.0,1.0,22.0,0.5,5.5,12.0,39.0,20.0,35.5,16.5,250.0,17.0,121.0,58.725,1.0,27.5,4.5,8.5,56.5,60.0,40.5,77.15,139.0,95.6,18.65,3.5,3.5,108.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Brandon Brown,26.0,15.5,5.0,34.0,0.5,19.5,0.0,50.0,51.5,24.0,0.0,101.0,0.0,66.75,16.5,5.5,35.0,16.0,6.5,89.0,78.5,41.5,46.5,98.5,61.0,0.0,3.5,11.5,125.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,Noah Gragson,3.0,2.0,1.0,22.0,0.5,5.5,12.0,39.0,20.0,35.5,16.5,250.0,17.0,121.0,58.725,1.0,27.5,4.5,8.5,56.5,60.0,40.5,77.15,139.0,95.6,18.65,3.5,3.5,108.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Landon Cassill,36.0,25.0,10.0,35.5,0.5,29.0,-12.0,25.5,40.0,0.0,0.0,6.0,0.0,36.8,-4.0,3.0,30.0,11.0,-4.5,80.5,66.5,58.0,75.55000000000001,116.0,85.5,0.0,3.5,14.5,182.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,Noah Gragson,3.0,2.0,1.0,22.0,0.5,5.5,12.0,39.0,20.0,35.5,16.5,250.0,17.0,121.0,58.725,1.0,27.5,4.5,8.5,56.5,60.0,40.5,77.15,139.0,95.6,18.65,3.5,3.5,108.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Jeb Burton,38.0,7.5,2.5,35.5,0.5,13.0,12.0,39.0,35.5,25.0,0.5,192.0,0.0,85.5,16.6,5.0,31.0,17.0,5.0,93.5,76.5,40.0,48.7,45.5,43.45,0.0,3.5,14.0,82.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Ty Gibbs,1.0,5.5,1.0,23.5,0.5,9.0,19.0,55.0,26.5,47.0,12.5,229.5,22.0,104.30000000000001,47.125,1.0,31.5,9.5,9.5,82.5,74.0,61.0,68.55,135.0,80.4,2.0,3.5,11.5,24.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,John Hunter Nemechek,2.0,8.0,2.0,27.0,0.5,9.0,26.0,59.0,33.0,46.0,3.0,225.0,0.0,105.0,66.35,1.0,18.0,8.0,8.5,54.0,45.5,44.0,80.25,196.5,98.25,2.75,3.5,11.0,58.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Noah Gragson,3.0,2.0,1.0,22.0,0.5,5.5,12.0,39.0,20.0,35.5,16.5,250.0,17.0,121.0,58.725,1.0,27.5,4.5,8.5,56.5,60.0,40.5,77.15,139.0,95.6,18.65,3.5,3.5,108.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A.J. Allmendinger,9.0,7.5,1.0,23.0,0.5,7.0,7.5,46.0,34.0,38.0,13.5,243.5,0.5,109.6,38.775000000000006,1.0,23.0,7.5,3.0,63.0,69.0,41.5,75.7,131.5,93.95,15.5,3.5,6.5,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Sam Mayer,11.0,9.0,1.0,38.0,0.5,14.0,19.0,44.0,22.0,33.0,16.0,144.0,7.0,103.5,59.65,3.0,33.0,15.0,7.0,96.0,69.0,46.5,54.3,92.0,61.85,0.0,3.5,23.5,24.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Josh Berry,12.0,17.0,6.5,32.5,0.5,16.0,23.5,52.5,32.5,17.0,2.5,102.5,0.0,73.45,21.9,1.5,30.5,10.5,1.5,66.0,58.5,46.0,60.400000000000006,124.0,73.6,0.0,3.5,16.0,35.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Justin Allgaier,14.0,12.5,1.0,25.0,0.5,9.0,8.5,43.0,34.5,26.0,7.0,222.0,0.0,102.05,43.150000000000006,1.0,29.5,9.0,12.5,72.0,54.5,54.0,66.95,148.0,89.1,2.35,3.5,5.5,378.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Brett Moffitt,15.0,19.0,1.0,37.0,0.5,17.0,0.0,50.0,43.0,11.0,0.0,61.0,0.0,68.2,18.0,6.5,28.5,16.0,-10.5,80.0,77.0,26.5,40.2,96.5,53.25,0.0,3.5,15.5,69.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Daniel Hemric,16.0,6.0,1.0,22.0,0.5,6.5,11.0,48.5,27.5,39.5,25.0,247.0,23.0,114.5,60.5,1.0,27.0,9.5,1.5,70.0,65.0,50.5,72.7,125.0,86.85,0.0,3.5,20.5,126.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Riley Herbst,24.0,9.0,2.5,27.5,0.5,12.0,-5.0,43.0,43.0,30.5,3.5,208.0,0.0,89.65,45.025,3.0,31.0,16.0,1.5,75.5,68.0,34.5,65.35,73.0,82.9,0.0,3.5,14.5,82.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Brandon Brown,26.0,15.5,5.0,34.0,0.5,19.5,0.0,50.0,51.5,24.0,0.0,101.0,0.0,66.75,16.5,5.5,35.0,16.0,6.5,89.0,78.5,41.5,46.5,98.5,61.0,0.0,3.5,11.5,125.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Landon Cassill,36.0,25.0,10.0,35.5,0.5,29.0,-12.0,25.5,40.0,0.0,0.0,6.0,0.0,36.8,-4.0,3.0,30.0,11.0,-4.5,80.5,66.5,58.0,75.55000000000001,116.0,85.5,0.0,3.5,14.5,182.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Jeb Burton,38.0,7.5,2.5,35.5,0.5,13.0,12.0,39.0,35.5,25.0,0.5,192.0,0.0,85.5,16.6,5.0,31.0,17.0,5.0,93.5,76.5,40.0,48.7,45.5,43.45,0.0,3.5,14.0,82.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ty Gibbs,1.0,5.5,1.0,23.5,0.5,9.0,19.0,55.0,26.5,47.0,12.5,229.5,22.0,104.30000000000001,47.125,1.0,31.5,9.5,9.5,82.5,74.0,61.0,68.55,135.0,80.4,2.0,3.5,11.5,24.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,John Hunter Nemechek,2.0,8.0,2.0,27.0,0.5,9.0,26.0,59.0,33.0,46.0,3.0,225.0,0.0,105.0,66.35,1.0,18.0,8.0,8.5,54.0,45.5,44.0,80.25,196.5,98.25,2.75,3.5,11.0,58.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Noah Gragson,3.0,2.0,1.0,22.0,0.5,5.5,12.0,39.0,20.0,35.5,16.5,250.0,17.0,121.0,58.725,1.0,27.5,4.5,8.5,56.5,60.0,40.5,77.15,139.0,95.6,18.65,3.5,3.5,108.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A.J. Allmendinger,9.0,7.5,1.0,23.0,0.5,7.0,7.5,46.0,34.0,38.0,13.5,243.5,0.5,109.6,38.775000000000006,1.0,23.0,7.5,3.0,63.0,69.0,41.5,75.7,131.5,93.95,15.5,3.5,6.5,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Sam Mayer,11.0,9.0,1.0,38.0,0.5,14.0,19.0,44.0,22.0,33.0,16.0,144.0,7.0,103.5,59.65,3.0,33.0,15.0,7.0,96.0,69.0,46.5,54.3,92.0,61.85,0.0,3.5,23.5,24.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Josh Berry,12.0,17.0,6.5,32.5,0.5,16.0,23.5,52.5,32.5,17.0,2.5,102.5,0.0,73.45,21.9,1.5,30.5,10.5,1.5,66.0,58.5,46.0,60.400000000000006,124.0,73.6,0.0,3.5,16.0,35.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Justin Allgaier,14.0,12.5,1.0,25.0,0.5,9.0,8.5,43.0,34.5,26.0,7.0,222.0,0.0,102.05,43.150000000000006,1.0,29.5,9.0,12.5,72.0,54.5,54.0,66.95,148.0,89.1,2.35,3.5,5.5,378.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Brett Moffitt,15.0,19.0,1.0,37.0,0.5,17.0,0.0,50.0,43.0,11.0,0.0,61.0,0.0,68.2,18.0,6.5,28.5,16.0,-10.5,80.0,77.0,26.5,40.2,96.5,53.25,0.0,3.5,15.5,69.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Daniel Hemric,16.0,6.0,1.0,22.0,0.5,6.5,11.0,48.5,27.5,39.5,25.0,247.0,23.0,114.5,60.5,1.0,27.0,9.5,1.5,70.0,65.0,50.5,72.7,125.0,86.85,0.0,3.5,20.5,126.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Riley Herbst,24.0,9.0,2.5,27.5,0.5,12.0,-5.0,43.0,43.0,30.5,3.5,208.0,0.0,89.65,45.025,3.0,31.0,16.0,1.5,75.5,68.0,34.5,65.35,73.0,82.9,0.0,3.5,14.5,82.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Brandon Brown,26.0,15.5,5.0,34.0,0.5,19.5,0.0,50.0,51.5,24.0,0.0,101.0,0.0,66.75,16.5,5.5,35.0,16.0,6.5,89.0,78.5,41.5,46.5,98.5,61.0,0.0,3.5,11.5,125.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Landon Cassill,36.0,25.0,10.0,35.5,0.5,29.0,-12.0,25.5,40.0,0.0,0.0,6.0,0.0,36.8,-4.0,3.0,30.0,11.0,-4.5,80.5,66.5,58.0,75.55000000000001,116.0,85.5,0.0,3.5,14.5,182.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,Jeremy Clements,7.0,19.0,4.0,28.5,0.5,14.0,-1.5,52.0,53.0,24.0,0.0,162.5,0.0,80.0,28.9,5.5,29.5,19.0,0.5,55.5,62.5,23.5,37.2,35.0,34.0,0.0,3.5,20.0,404.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Jeb Burton,38.0,7.5,2.5,35.5,0.5,13.0,12.0,39.0,35.5,25.0,0.5,192.0,0.0,85.5,16.6,5.0,31.0,17.0,5.0,93.5,76.5,40.0,48.7,45.5,43.45,0.0,3.5,14.0,82.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,A.J. Allmendinger,9.0,7.5,1.0,23.0,0.5,7.0,7.5,46.0,34.0,38.0,13.5,243.5,0.5,109.6,38.775000000000006,1.0,23.0,7.5,3.0,63.0,69.0,41.5,75.7,131.5,93.95,15.5,3.5,6.5,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ty Gibbs,1.0,5.5,1.0,23.5,0.5,9.0,19.0,55.0,26.5,47.0,12.5,229.5,22.0,104.30000000000001,47.125,1.0,31.5,9.5,9.5,82.5,74.0,61.0,68.55,135.0,80.4,2.0,3.5,11.5,24.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,A.J. Allmendinger,9.0,7.5,1.0,23.0,0.5,7.0,7.5,46.0,34.0,38.0,13.5,243.5,0.5,109.6,38.775000000000006,1.0,23.0,7.5,3.0,63.0,69.0,41.5,75.7,131.5,93.95,15.5,3.5,6.5,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Hunter Nemechek,2.0,8.0,2.0,27.0,0.5,9.0,26.0,59.0,33.0,46.0,3.0,225.0,0.0,105.0,66.35,1.0,18.0,8.0,8.5,54.0,45.5,44.0,80.25,196.5,98.25,2.75,3.5,11.0,58.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,A.J. Allmendinger,9.0,7.5,1.0,23.0,0.5,7.0,7.5,46.0,34.0,38.0,13.5,243.5,0.5,109.6,38.775000000000006,1.0,23.0,7.5,3.0,63.0,69.0,41.5,75.7,131.5,93.95,15.5,3.5,6.5,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Noah Gragson,3.0,2.0,1.0,22.0,0.5,5.5,12.0,39.0,20.0,35.5,16.5,250.0,17.0,121.0,58.725,1.0,27.5,4.5,8.5,56.5,60.0,40.5,77.15,139.0,95.6,18.65,3.5,3.5,108.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,A.J. Allmendinger,9.0,7.5,1.0,23.0,0.5,7.0,7.5,46.0,34.0,38.0,13.5,243.5,0.5,109.6,38.775000000000006,1.0,23.0,7.5,3.0,63.0,69.0,41.5,75.7,131.5,93.95,15.5,3.5,6.5,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Brandon Jones,5.0,11.0,3.0,28.5,0.5,9.5,9.5,51.0,44.0,32.5,2.5,200.5,0.0,96.9,46.125,1.0,33.0,10.0,5.5,77.0,64.5,51.0,70.55,137.5,82.9,0.8,3.5,11.5,209.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
